Rank,College,G,AB,H,BA
1,Oregon ,58,"1,528",540,0.353
2,Oklahoma ,65,"1,798",631,0.351
3,Binghamton ,49,"1,320",460,0.348
4,Notre Dame ,56,"1,554",540,0.347
5,Michigan ,59,"1,521",528,0.347
6,Georgia ,66,"1,724",589,0.342
7,New Mexico St. ,59,"1,523",520,0.341
8,Louisiana ,55,"1,436",486,0.338
9,Washington ,54,"1,494",504,0.337
10,San Jose St. ,52,"1,442",483,0.335
11,Delaware St. ,48,"1,373",454,0.331
12,Coastal Carolina ,59,"1,612",532,0.330
13,Texas A&M ,59,"1,545",507,0.328
14,Missouri ,58,"1,572",514,0.327
15,Idaho St. ,51,"1,415",462,0.327
16,Montana ,56,"1,599",521,0.326
17,Tennessee ,59,"1,473",479,0.325
17,FIU ,56,"1,473",479,0.325
19,Marist ,58,"1,583",514,0.325
20,Florida St. ,65,"1,640",530,0.323
21,Savannah St. ,49,"1,291",416,0.322
22,Alabama St. ,55,"1,500",482,0.321
23,South Fla. ,61,"1,517",485,0.320
24,Baylor ,59,"1,600",510,0.319
25,Minnesota ,57,"1,534",488,0.318
26,Weber St. ,56,"1,538",489,0.318
27,North Dakota St. ,54,"1,444",459,0.318
28,Youngstown St. ,51,"1,435",456,0.318
29,Auburn ,70,"1,889",599,0.317
30,Pittsburgh ,52,"1,353",429,0.317
31,UCLA ,57,"1,470",465,0.316
32,Samford ,60,"1,656",523,0.316
33,LSU ,70,"1,828",577,0.316
34,Albany ,52,"1,353",427,0.316
35,Fresno St. ,55,"1,525",481,0.315
36,Penn St. ,54,"1,490",468,0.314
37,Harvard ,46,"1,293",406,0.314
38,Maine ,49,"1,364",428,0.314
39,Louisville ,52,"1,401",439,0.313
40,Florida ,63,"1,599",499,0.312
41,Nevada ,47,"1,301",406,0.312
42,Arizona St. ,57,"1,539",479,0.311
43,Alabama ,65,"1,651",513,0.311
44,Marshall ,56,"1,470",456,0.310
45,Villanova ,50,"1,394",432,0.310
46,USC Upstate ,58,"1,532",474,0.309
47,LMU ,53,"1,403",433,0.309
48,UTEP ,55,"1,469",451,0.307
49,Army West Point ,59,"1,636",501,0.306
50,Oregon St. ,51,"1,407",430,0.306
51,McNeese ,57,"1,526",466,0.305
52,Wichita St. ,57,"1,508",460,0.305
53,Utah St. ,51,"1,425",434,0.305
54,Jacksonville St. ,60,"1,628",494,0.303
55,Sacramento St. ,50,"1,355",411,0.303
56,UC Santa Barbara ,56,"1,522",459,0.302
57,Illinois ,59,"1,573",474,0.301
58,Texas Southern ,44,"1,218",367,0.301
59,Cal St. Fullerton ,61,"1,614",486,0.301
60,California ,58,"1,588",478,0.301
61,Furman ,61,"1,650",496,0.301
62,Boston U. ,52,"1,445",434,0.300
63,Fla. Atlantic ,60,"1,570",471,0.300
63,Oklahoma St. ,58,"1,520",456,0.300
63,Utah ,56,"1,430",429,0.300
66,Texas ,54,"1,407",422,0.300
67,UNI ,57,"1,494",448,0.300
68,San Diego ,51,"1,418",425,0.300
69,Hofstra ,46,"1,258",377,0.300
70,UNC Greensboro ,59,"1,549",464,0.300
71,San Diego St. ,52,"1,406",421,0.299
72,UC Riverside ,55,"1,430",428,0.299
73,Eastern Ky. ,54,"1,436",428,0.298
74,Monmouth ,50,"1,416",422,0.298
75,UNLV ,55,"1,460",435,0.298
76,Southern U. ,32,791,235,0.297
77,Colorado St. ,46,"1,268",376,0.297
78,Lehigh ,52,"1,410",417,0.296
79,Bradley ,48,"1,323",391,0.296
80,Penn ,44,"1,172",346,0.295
81,St. John's ,49,"1,254",370,0.295
82,Omaha ,59,"1,573",464,0.295
82,Arizona ,61,"1,573",464,0.295
84,Campbell ,59,"1,563",461,0.295
85,Brown ,41,"1,136",335,0.295
86,Towson ,54,"1,401",413,0.295
87,James Madison ,56,"1,466",432,0.295
88,BYU ,57,"1,494",440,0.295
89,South Alabama ,51,"1,346",396,0.294
90,Nebraska ,56,"1,540",453,0.294
91,Ohio St. ,55,"1,479",435,0.294
92,Charlotte ,55,"1,453",427,0.294
93,Fordham ,60,"1,600",470,0.294
94,Longwood ,60,"1,552",455,0.293
95,Lamar University ,57,"1,482",434,0.293
96,Northern Ill. ,55,"1,448",424,0.293
97,Chattanooga ,59,"1,572",460,0.293
98,Siena ,47,"1,258",368,0.293
99,North Carolina ,57,"1,498",438,0.292
100,Delaware ,51,"1,365",399,0.292
101,Fairfield ,50,"1,330",388,0.292
102,Georgia St. ,61,"1,667",486,0.292
103,South Carolina ,61,"1,569",457,0.291
104,UT Arlington ,49,"1,268",369,0.291
105,Nicholls St. ,56,"1,561",454,0.291
106,Bucknell ,50,"1,366",397,0.291
107,Stony Brook ,52,"1,337",388,0.290
108,Saint Francis ,58,"1,530",444,0.290
109,Michigan St. ,55,"1,441",417,0.289
110,Florida A&M ,57,"1,469",425,0.289
111,Hampton ,48,"1,276",369,0.289
112,Tulsa ,56,"1,463",423,0.289
113,Mount St. Mary's ,50,"1,278",369,0.289
114,Kansas City ,50,"1,382",399,0.289
115,FGCU ,59,"1,540",443,0.288
116,Seton Hall ,54,"1,490",428,0.287
117,Ole Miss ,63,"1,592",457,0.287
118,Boston College ,53,"1,436",412,0.287
119,New Mexico ,50,"1,361",390,0.287
120,Louisiana Tech ,54,"1,445",414,0.287
121,Sam Houston St. ,54,"1,387",397,0.286
122,UIC ,51,"1,391",398,0.286
123,Coppin St. ,36,909,260,0.286
124,Long Beach St. ,55,"1,479",423,0.286
125,Col. of Charleston ,58,"1,546",442,0.286
126,Houston ,56,"1,454",415,0.285
127,Boise St. ,52,"1,365",389,0.285
128,DePaul ,52,"1,331",379,0.285
129,Kansas ,51,"1,284",365,0.284
130,Portland St. ,49,"1,267",360,0.284
131,Cornell ,41,"1,081",307,0.284
132,Providence ,49,"1,269",360,0.284
133,Northern Colo. ,42,"1,079",306,0.284
134,Georgetown ,44,"1,145",324,0.283
135,Central Mich. ,52,"1,341",378,0.282
136,Iowa St. ,55,"1,427",402,0.282
137,Mercer ,58,"1,538",433,0.282
138,Ark.-Pine Bluff ,51,"1,290",363,0.281
139,LIU ,56,"1,467",412,0.281
140,Elon ,51,"1,439",404,0.281
141,Troy ,56,"1,465",411,0.281
142,Texas Tech ,55,"1,387",389,0.280
143,Northwestern St. ,52,"1,372",384,0.280
144,Wright St. ,60,"1,619",453,0.280
145,Miami ,58,"1,562",436,0.279
146,Dartmouth ,42,"1,143",319,0.279
147,Drake ,54,"1,419",396,0.279
148,North Texas ,55,"1,436",400,0.279
149,Wisconsin ,53,"1,378",383,0.278
150,Southern Miss. ,58,"1,515",421,0.278
151,Northwestern ,55,"1,455",404,0.278
152,Ga. Southern ,57,"1,506",418,0.278
153,Memphis ,57,"1,465",405,0.276
154,Maryland ,52,"1,303",360,0.276
155,Massachusetts ,50,"1,296",358,0.276
156,Canisius ,55,"1,412",390,0.276
157,Jackson St. ,36,986,272,0.276
158,CSUN ,56,"1,484",408,0.275
159,Western Caro. ,57,"1,511",414,0.274
160,Loyola Chicago ,49,"1,267",347,0.274
161,Akron ,56,"1,414",387,0.274
162,North Florida ,49,"1,272",348,0.274
163,Prairie View ,38,962,263,0.273
164,UMBC ,56,"1,417",387,0.273
165,Charleston So. ,56,"1,467",400,0.273
166,Alcorn ,46,"1,163",317,0.273
167,Cleveland St. ,53,"1,431",390,0.273
168,N.C. A&T ,49,"1,252",341,0.272
169,Southeastern La. ,55,"1,396",380,0.272
170,ETSU ,42,"1,128",307,0.272
171,Indiana ,54,"1,408",383,0.272
172,St. Bonaventure ,47,"1,266",344,0.272
173,Cal Poly ,50,"1,259",342,0.272
174,Kentucky ,59,"1,462",397,0.272
175,Wagner ,49,"1,326",360,0.271
176,Iona ,46,"1,249",339,0.271
177,Indiana St. ,51,"1,288",349,0.271
178,Stetson ,54,"1,373",372,0.271
179,NC State ,56,"1,468",397,0.270
180,Manhattan ,51,"1,328",359,0.270
181,Saint Joseph's ,52,"1,408",380,0.270
182,Princeton ,51,"1,386",374,0.270
183,UAB ,59,"1,490",400,0.268
184,Murray St. ,55,"1,485",398,0.268
185,Southern Ill. ,52,"1,321",354,0.268
186,George Washington ,52,"1,325",355,0.268
187,Saint Louis ,52,"1,362",364,0.267
188,Pacific ,48,"1,209",323,0.267
189,La.-Monroe ,58,"1,450",387,0.267
190,Western Mich. ,50,"1,302",347,0.267
191,Howard ,41,"1,044",278,0.266
192,Southern Utah ,52,"1,337",356,0.266
193,Bethune-Cookman ,53,"1,353",360,0.266
194,Liberty ,59,"1,495",397,0.266
195,Kent St. ,59,"1,537",408,0.265
196,Drexel ,55,"1,421",377,0.265
197,Houston Baptist ,44,"1,101",292,0.265
198,Eastern Mich. ,51,"1,343",356,0.265
199,South Dakota St. ,57,"1,468",389,0.265
200,Buffalo ,54,"1,453",383,0.264
201,Norfolk St. ,43,"1,128",297,0.263
202,Mississippi Val. ,44,"1,147",302,0.263
203,Morehead St. ,53,"1,356",357,0.263
204,Belmont ,54,"1,382",363,0.263
205,Appalachian St. ,56,"1,414",371,0.262
206,IUPUI ,55,"1,498",393,0.262
207,Green Bay ,54,"1,361",357,0.262
208,George Mason ,47,"1,262",331,0.262
209,Southeast Mo. St. ,49,"1,251",328,0.262
210,UMES ,41,"1,091",286,0.262
211,Seattle U ,52,"1,343",352,0.262
212,Western Ill. ,48,"1,287",336,0.261
213,South Dakota ,53,"1,418",370,0.261
214,Virginia ,51,"1,361",355,0.261
215,Columbia ,48,"1,269",331,0.261
216,Missouri St. ,52,"1,350",352,0.261
217,East Carolina ,54,"1,412",368,0.261
218,Arkansas ,56,"1,409",367,0.260
219,Ball St. ,54,"1,337",348,0.260
220,Central Conn. St. ,45,"1,186",308,0.260
221,Rutgers ,57,"1,497",388,0.259
222,UT Martin ,56,"1,441",372,0.258
223,Illinois St. ,53,"1,357",350,0.258
224,Lipscomb ,55,"1,423",367,0.258
225,Valparaiso ,52,"1,346",347,0.258
226,Middle Tenn. ,54,"1,462",376,0.257
227,Fairleigh Dickinson ,46,"1,159",298,0.257
228,Purdue Fort Wayne ,51,"1,253",321,0.256
229,Texas St. ,62,"1,499",384,0.256
230,Robert Morris ,56,"1,484",380,0.256
231,UCF ,60,"1,497",383,0.256
232,Creighton ,47,"1,167",298,0.255
233,Virginia Tech ,57,"1,405",358,0.255
234,Radford ,61,"1,610",410,0.255
235,Butler ,52,"1,340",340,0.254
236,Bowling Green ,54,"1,426",361,0.253
237,North Dakota ,54,"1,405",355,0.253
238,Ohio ,60,"1,619",408,0.252
239,Western Ky. ,47,"1,200",301,0.251
240,UConn ,52,"1,320",331,0.251
241,Saint Mary's ,48,"1,239",310,0.250
242,Eastern Ill. ,53,"1,341",335,0.250
243,Iowa ,52,"1,375",343,0.249
244,Syracuse ,53,"1,413",352,0.249
245,Austin Peay ,47,"1,238",308,0.249
246,SFA ,57,"1,460",363,0.249
247,UTSA ,53,"1,391",345,0.248
248,Mississippi St. ,57,"1,476",365,0.247
249,Gardner-Webb ,54,"1,363",337,0.247
250,Utah Valley ,52,"1,335",330,0.247
251,Niagara ,48,"1,230",303,0.246
252,Evansville ,50,"1,301",320,0.246
253,Detroit Mercy ,56,"1,403",345,0.246
254,UNCW ,50,"1,347",331,0.246
255,Lafayette ,45,"1,194",293,0.245
256,Tennessee Tech ,56,"1,410",343,0.243
257,CSU Bakersfield ,50,"1,275",310,0.243
258,Central Ark. ,57,"1,411",343,0.243
259,Oakland ,44,"1,169",284,0.243
260,Kennesaw St. ,58,"1,464",354,0.242
261,UC Davis ,50,"1,266",306,0.242
262,Purdue ,55,"1,416",342,0.242
263,Tennessee St. ,55,"1,322",319,0.241
264,Alabama A&M ,47,"1,173",283,0.241
265,Winthrop ,58,"1,456",351,0.241
266,Quinnipiac ,57,"1,506",362,0.240
267,Jacksonville ,58,"1,465",351,0.240
268,Santa Clara ,51,"1,237",294,0.238
269,Rider ,50,"1,283",304,0.237
270,Hawaii ,54,"1,394",330,0.237
271,Presbyterian ,53,"1,353",320,0.237
272,Morgan St. ,41,"1,003",237,0.236
273,Stanford ,48,"1,212",285,0.235
274,Yale ,50,"1,354",317,0.234
275,La Salle ,45,"1,115",261,0.234
276,Toledo ,54,"1,332",310,0.233
277,Dayton ,49,"1,278",297,0.232
278,SIUE ,54,"1,363",316,0.232
279,Rhode Island ,44,"1,127",260,0.231
280,Georgia Tech ,55,"1,415",323,0.228
281,A&M-Corpus Christi ,48,"1,189",271,0.228
282,Sacred Heart ,49,"1,300",296,0.228
283,Holy Cross ,44,"1,125",255,0.227
284,N.C. Central ,49,"1,188",267,0.225
285,Colgate ,41,"1,018",226,0.222
286,Hartford ,51,"1,216",262,0.215
287,South Carolina St. ,30,630,133,0.211
288,Bryant ,48,"1,169",244,0.209
289,Grambling ,37,817,170,0.208
290,Saint Peter's ,43,980,195,0.199
