Rank,College,G,HR,PG
1,Louisiana ,55,84,1.53
2,Arizona ,61,90,1.48
3,UCLA ,63,78,1.24
4,Ohio St. ,53,63,1.19
5,Arizona St. ,53,62,1.17
6,James Madison ,60,70,1.17
7,East Carolina ,56,64,1.14
8,Michigan St. ,58,66,1.14
9,Florida St. ,64,71,1.11
10,UNC Greensboro ,55,61,1.11
11,Arkansas ,55,59,1.07
12,Saint Francis ,61,65,1.07
13,Minnesota ,61,64,1.05
14,Charleston So. ,62,65,1.05
15,IUPUI ,54,56,1.04
16,Washington ,64,66,1.03
17,Tennessee Tech ,46,47,1.02
18,Virginia Tech ,53,54,1.02
18,Georgia Tech ,53,54,1.02
20,Illinois St. ,57,57,1.00
20,Texas A&M ,60,60,1.00
22,Virginia ,54,53,0.98
23,Jacksonville St. ,53,52,0.98
24,North Carolina ,61,59,0.97
25,New Mexico St. ,54,52,0.96
26,Towson ,50,48,0.96
27,Michigan ,57,54,0.95
28,CSUN ,53,50,0.94
29,Oklahoma ,70,66,0.94
30,Seton Hall ,48,45,0.94
31,BYU ,60,56,0.93
32,Texas Tech ,55,51,0.93
33,San Diego St. ,49,45,0.92
34,Missouri ,57,52,0.91
35,Wichita St. ,52,47,0.90
35,UNI ,52,47,0.90
37,Utah Valley ,40,36,0.90
37,Sacramento St. ,50,45,0.90
39,Morehead St. ,48,43,0.90
40,Miami ,53,47,0.89
41,Georgia St. ,61,54,0.89
42,Kent St. ,63,55,0.87
43,Utah St. ,51,44,0.86
44,McNeese ,61,52,0.85
45,Pittsburgh ,47,40,0.85
46,DePaul ,52,44,0.85
47,Auburn ,61,51,0.84
48,Hawaii ,52,43,0.83
49,Fordham ,63,52,0.83
50,Murray St. ,56,46,0.82
51,Austin Peay ,48,39,0.81
52,Ga. Southern ,53,43,0.81
53,Wisconsin ,52,42,0.81
54,Western Ky. ,62,50,0.81
55,Mount St. Mary's ,51,41,0.80
56,Texas St. ,59,47,0.80
57,Valparaiso ,51,40,0.78
58,Illinois ,59,46,0.78
59,Florida ,68,53,0.78
60,Western Ill. ,54,42,0.78
61,Belmont ,57,44,0.77
62,Columbia ,48,37,0.77
63,Iona ,51,39,0.76
64,South Carolina ,59,45,0.76
65,Marshall ,54,41,0.76
66,North Dakota St. ,62,47,0.76
67,Boise St. ,53,40,0.75
68,Kennesaw St. ,60,45,0.75
69,Albany ,47,35,0.74
70,Oregon ,62,46,0.74
71,Ball St. ,58,43,0.74
71,Fresno St. ,58,43,0.74
73,Hofstra ,50,37,0.74
73,Saint Louis ,50,37,0.74
75,Kansas ,52,38,0.73
76,Kentucky ,58,42,0.72
77,Northern Ill. ,54,39,0.72
78,Brown ,45,32,0.71
79,Western Mich. ,54,38,0.70
80,Colorado St. ,50,35,0.70
81,NC State ,56,39,0.70
82,LIU ,52,36,0.69
83,Coastal Carolina ,55,38,0.69
84,Stony Brook ,47,32,0.68
85,Evansville ,53,36,0.68
85,UTSA ,53,36,0.68
87,Penn ,40,27,0.68
88,Northern Colo. ,55,37,0.67
88,Villanova ,55,37,0.67
88,Radford ,55,37,0.67
91,Omaha ,45,30,0.67
91,Providence ,48,32,0.67
91,Southern Ill. ,57,38,0.67
91,Southern U. ,39,26,0.67
91,Tennessee ,60,40,0.67
91,St. John's ,48,32,0.67
97,Marist ,59,39,0.66
98,Colgate ,44,29,0.66
99,Campbell ,58,38,0.66
100,Oregon St. ,55,36,0.65
101,Notre Dame ,57,37,0.65
101,Bethune-Cookman ,57,37,0.65
103,Utah ,53,34,0.64
104,Syracuse ,50,32,0.64
105,ETSU ,55,35,0.64
106,George Washington ,52,33,0.63
107,Maine ,46,29,0.63
108,FIU ,61,38,0.62
109,Southeast Mo. St. ,50,31,0.62
110,Nevada ,55,34,0.62
110,Houston ,55,34,0.62
112,Alabama St. ,57,35,0.61
113,Norfolk St. ,36,22,0.61
114,Siena ,51,31,0.61
115,Monmouth ,56,34,0.61
116,Western Caro. ,48,29,0.60
117,USC Upstate ,58,35,0.60
118,Baylor ,63,38,0.60
119,Dartmouth ,40,24,0.60
120,Mercer ,57,34,0.60
121,Northern Ky. ,52,31,0.60
122,Youngstown St. ,59,35,0.59
122,UT Martin ,59,35,0.59
124,South Dakota St. ,54,32,0.59
125,Col. of Charleston ,56,33,0.59
126,Eastern Ky. ,58,34,0.59
127,Charlotte ,53,31,0.58
127,Nebraska ,53,31,0.58
129,North Dakota ,55,32,0.58
130,Ohio ,62,36,0.58
131,Alabama ,64,37,0.58
132,UMBC ,52,30,0.58
133,Binghamton ,47,27,0.57
134,Pacific ,54,31,0.57
134,Furman ,54,31,0.57
136,North Texas ,56,32,0.57
136,Cornell ,42,24,0.57
138,Bradley ,53,30,0.57
139,Kansas City ,55,31,0.56
140,Georgetown ,48,27,0.56
141,New Mexico ,50,28,0.56
141,Louisville ,50,28,0.56
143,Samford ,61,34,0.56
144,SIUE ,54,30,0.56
144,UAB ,54,30,0.56
144,Troy ,54,30,0.56
147,Florida A&M ,56,31,0.55
148,La Salle ,47,26,0.55
149,Louisiana Tech ,62,34,0.55
150,Delaware ,53,29,0.55
150,Boston College ,53,29,0.55
150,Canisius ,53,29,0.55
153,Akron ,57,31,0.54
153,Northwestern St. ,57,31,0.54
155,Quinnipiac ,50,27,0.54
156,South Fla. ,56,30,0.54
157,Princeton ,45,24,0.53
158,Stetson ,47,25,0.53
159,Southern Utah ,46,24,0.52
159,Idaho St. ,46,24,0.52
161,Prairie View ,48,25,0.52
161,Appalachian St. ,48,25,0.52
163,Creighton ,50,26,0.52
164,Robert Morris ,52,27,0.52
165,LSU ,70,36,0.51
166,Harvard ,41,21,0.51
167,Alcorn ,47,24,0.51
168,Drexel ,49,25,0.51
169,LMU ,51,26,0.51
170,Jacksonville ,55,28,0.51
171,Oklahoma St. ,63,32,0.51
171,Ole Miss ,63,32,0.51
173,Toledo ,58,29,0.50
173,Howard ,38,19,0.50
175,South Alabama ,55,27,0.49
175,Chattanooga ,55,27,0.49
177,Eastern Ill. ,49,24,0.49
178,Liberty ,72,35,0.49
179,Mississippi St. ,58,28,0.48
179,Georgia ,58,28,0.48
179,Iowa St. ,58,28,0.48
182,UNCW ,56,27,0.48
183,South Dakota ,54,26,0.48
184,UConn ,48,23,0.48
185,Mississippi Val. ,46,22,0.48
186,Texas ,59,28,0.47
186,Montana ,59,28,0.47
188,Sam Houston St. ,51,24,0.47
188,Rutgers ,51,24,0.47
190,UT Arlington ,60,28,0.47
191,Winthrop ,58,27,0.47
192,Lipscomb ,56,26,0.46
192,Fla. Atlantic ,56,26,0.46
194,Butler ,52,24,0.46
194,Seattle U ,52,24,0.46
196,UTEP ,48,22,0.46
197,Saint Joseph's ,53,24,0.45
198,Middle Tenn. ,49,22,0.45
199,Cal St. Fullerton ,58,26,0.45
200,Longwood ,61,27,0.44
201,UNLV ,52,23,0.44
202,Drake ,55,24,0.44
203,Stanford ,51,22,0.43
204,Tulsa ,58,25,0.43
205,San Jose St. ,56,24,0.43
205,Penn St. ,56,24,0.43
205,Hartford ,49,21,0.43
208,UIC ,61,26,0.43
209,Hampton ,45,19,0.42
210,Houston Baptist ,43,18,0.42
211,Manhattan ,55,23,0.42
212,Southern Miss. ,53,22,0.42
213,San Diego ,46,19,0.41
214,Central Conn. St. ,39,16,0.41
215,Indiana ,54,22,0.41
216,UC Santa Barbara ,59,24,0.41
217,Green Bay ,35,14,0.40
217,Saint Peter's ,40,16,0.40
217,SFA ,50,20,0.40
217,Yale ,45,18,0.40
221,Delaware St. ,48,19,0.40
222,Eastern Mich. ,51,20,0.39
223,Rhode Island ,44,17,0.39
224,North Florida ,58,22,0.38
225,St. Bonaventure ,49,18,0.37
226,Weber St. ,60,22,0.37
227,Boston U. ,52,19,0.37
228,Wagner ,47,17,0.36
229,Dayton ,56,20,0.36
229,Lehigh ,56,20,0.36
231,CSU Bakersfield ,45,16,0.36
231,Niagara ,45,16,0.36
233,Detroit Mercy ,52,18,0.35
234,Ark.-Pine Bluff ,44,15,0.34
235,Elon ,53,18,0.34
236,La.-Monroe ,63,21,0.33
236,Purdue Fort Wayne ,48,16,0.33
236,Sacred Heart ,51,17,0.33
236,Nicholls St. ,57,19,0.33
240,Central Mich. ,52,17,0.33
241,Missouri St. ,49,16,0.33
242,Central Ark. ,60,19,0.32
242,FGCU ,60,19,0.32
244,Wright St. ,52,16,0.31
244,Cleveland St. ,52,16,0.31
244,UCF ,52,16,0.31
247,Loyola Chicago ,53,16,0.30
248,Presbyterian ,50,15,0.30
249,Fairfield ,54,16,0.30
250,Maryland ,51,15,0.29
251,Long Beach St. ,52,15,0.29
252,Cal Poly ,59,17,0.29
253,Bowling Green ,56,16,0.29
254,Oakland ,46,13,0.28
255,N.C. A&T ,50,14,0.28
255,Gardner-Webb ,50,14,0.28
257,N.C. Central ,43,12,0.28
258,UC Davis ,54,15,0.28
259,Alabama A&M ,48,13,0.27
260,Army West Point ,57,15,0.26
261,Holy Cross ,43,11,0.26
262,Indiana St. ,53,13,0.25
263,Grambling ,45,11,0.24
264,South Carolina St. ,41,10,0.24
265,Rider ,50,12,0.24
266,Fairleigh Dickinson ,42,10,0.24
267,Bucknell ,43,10,0.23
268,California ,56,13,0.23
268,Purdue ,56,13,0.23
270,Coppin St. ,52,12,0.23
271,Massachusetts ,53,12,0.23
272,Northwestern ,54,12,0.22
273,Iowa ,51,11,0.22
274,Lamar University ,65,14,0.22
275,UMES ,38,8,0.21
276,Jackson St. ,48,10,0.21
276,Bryant ,48,10,0.21
278,Southeastern La. ,55,11,0.20
279,Texas Southern ,46,9,0.20
279,Morgan St. ,46,9,0.20
281,Lafayette ,41,8,0.20
282,A&M-Corpus Christi ,48,9,0.19
283,Buffalo ,55,10,0.18
284,George Mason ,56,10,0.18
284,Memphis ,56,10,0.18
286,Saint Mary's ,48,8,0.17
287,UC Riverside ,52,8,0.15
288,Savannah St. ,40,6,0.15
289,Tennessee St. ,49,6,0.12
290,Santa Clara ,49,5,0.10
291,Portland St. ,45,4,0.09
