Rank,College,G,R,PG
1,Boise St. ,56,379,6.77
2,Oklahoma ,62,413,6.66
3,South Dakota St. ,55,356,6.47
4,Illinois ,55,350,6.36
5,UCLA ,65,411,6.32
6,Florida ,67,417,6.22
7,Towson ,61,377,6.18
8,James Madison ,57,352,6.18
9,George Washington ,54,331,6.13
10,Oregon ,63,385,6.11
11,Columbia ,40,244,6.10
12,Hofstra ,55,334,6.07
13,Nevada ,54,327,6.06
14,Georgia ,61,364,5.97
15,Alabama A&M ,43,255,5.93
16,Northwestern ,57,338,5.93
17,Massachusetts ,49,290,5.92
18,Drexel ,52,305,5.87
19,Florida St. ,70,410,5.86
20,McNeese ,62,361,5.82
21,Creighton ,43,250,5.81
22,Tennessee ,62,360,5.81
23,La.-Monroe ,53,307,5.79
24,Washington ,62,358,5.77
25,San Jose St. ,49,279,5.69
26,Minnesota ,58,330,5.69
27,Oklahoma St. ,61,347,5.69
28,BYU ,58,326,5.62
29,New Mexico St. ,53,297,5.60
30,Gardner-Webb ,58,323,5.57
31,Long Beach St. ,57,317,5.56
32,Kent St. ,52,284,5.46
33,UNC Greensboro ,59,320,5.42
34,Southeastern La. ,59,319,5.41
35,Saint Francis ,58,313,5.40
36,Kentucky ,56,302,5.39
37,Grand Canyon ,59,318,5.39
38,Fresno St. ,54,291,5.39
39,Michigan ,57,307,5.39
40,St. John's ,50,269,5.38
41,Louisville ,53,285,5.38
42,Ohio ,57,304,5.33
43,Fordham ,56,298,5.32
44,Penn ,37,196,5.30
45,Bethune-Cookman ,57,300,5.26
46,Campbell ,56,294,5.25
47,Baylor ,56,293,5.23
48,Ohio St. ,52,271,5.21
49,Texas Southern ,43,224,5.21
50,Mississippi St. ,61,316,5.18
51,Ball St. ,56,290,5.18
52,Arizona St. ,61,315,5.16
53,Weber St. ,54,278,5.15
54,Eastern Ky. ,66,339,5.14
55,Nicholls St. ,55,281,5.11
56,Boston U. ,59,301,5.10
57,Auburn ,58,295,5.09
58,Western Ky. ,54,269,4.98
59,Memphis ,58,288,4.97
60,Pittsburgh ,52,258,4.96
61,Arizona ,59,292,4.95
62,South Carolina ,66,325,4.92
63,Colorado St. ,50,246,4.92
64,Charleston So. ,56,274,4.89
65,Wichita St. ,55,269,4.89
66,Villanova ,53,259,4.89
67,Southeast Mo. St. ,53,258,4.87
68,California ,56,272,4.86
69,Northwestern St. ,53,257,4.85
70,Alabama St. ,54,261,4.83
71,Col. of Charleston ,58,280,4.83
72,Texas A&M ,62,299,4.82
73,Arkansas ,59,284,4.81
74,Harvard ,41,197,4.80
75,Alabama ,56,269,4.80
76,Georgia St. ,55,264,4.80
77,Liberty ,63,302,4.79
78,Seattle U ,56,268,4.79
79,Rider ,50,239,4.78
80,Missouri ,59,282,4.78
81,Longwood ,54,258,4.78
82,Albany ,48,229,4.77
83,Kennesaw St. ,56,267,4.77
84,Bradley ,50,238,4.76
85,Mercer ,52,247,4.75
86,LIU Brooklyn ,51,241,4.73
87,Southern Ill. ,53,249,4.70
88,Eastern Ill. ,56,262,4.68
89,Radford ,55,257,4.67
90,Morgan St. ,45,209,4.64
91,Binghamton ,42,195,4.64
92,Utah Valley ,52,241,4.63
93,DePaul ,52,240,4.62
94,Louisiana ,57,263,4.61
95,USC Upstate ,54,249,4.61
96,Southern U. ,40,184,4.60
97,Louisiana Tech ,57,261,4.58
98,Furman ,56,256,4.57
99,Wisconsin ,52,237,4.56
100,UIC ,54,246,4.56
100,Savannah St. ,36,164,4.56
102,Lamar University ,56,254,4.54
103,Texas Tech ,59,267,4.53
104,Bucknell ,51,230,4.51
105,Western Mich. ,54,242,4.48
106,Monmouth ,48,215,4.48
107,Miami ,49,219,4.47
108,Youngstown St. ,51,227,4.45
109,Toledo ,58,258,4.45
110,South Dakota ,55,243,4.42
111,Northern Colo. ,56,247,4.41
112,UC Riverside ,62,272,4.39
113,Syracuse ,50,218,4.36
114,Notre Dame ,57,248,4.35
115,Houston ,59,256,4.34
116,UT Arlington ,58,251,4.33
117,Tulsa ,59,255,4.32
118,Georgia Tech ,54,233,4.31
119,Central Ark. ,56,241,4.30
120,Troy ,60,258,4.30
120,Norfolk St. ,50,215,4.30
122,Middle Tenn. ,61,262,4.30
123,Sacramento St. ,51,219,4.29
124,Boston College ,53,227,4.28
125,Nebraska ,54,231,4.28
126,South Fla. ,62,265,4.27
127,Cal St. Fullerton ,60,256,4.27
128,North Texas ,52,221,4.25
129,Drake ,57,242,4.25
130,Alcorn ,49,208,4.24
131,UTEP ,54,229,4.24
132,Oakland ,50,212,4.24
133,Kansas ,52,220,4.23
133,Missouri St. ,52,220,4.23
135,Austin Peay ,58,245,4.22
136,Samford ,57,240,4.21
137,Virginia ,53,223,4.21
138,SFA ,55,231,4.20
138,Utah ,50,210,4.20
140,Grambling ,39,163,4.18
141,Ole Miss ,57,238,4.18
142,Jacksonville St. ,60,250,4.17
143,Fla. Atlantic ,56,233,4.16
143,Northern Ill. ,56,233,4.16
145,CSUN ,59,245,4.15
146,Prairie View ,43,178,4.14
147,Texas St. ,59,244,4.14
148,Appalachian St. ,52,215,4.13
149,Coastal Caro. ,54,223,4.13
150,Stetson ,51,210,4.12
151,Bowling Green ,52,213,4.10
151,UNI ,52,213,4.10
153,Saint Joseph's ,49,200,4.08
154,Rutgers ,50,204,4.08
155,Quinnipiac ,51,208,4.08
156,Manhattan ,53,216,4.08
157,UMKC ,56,228,4.07
158,Utah St. ,52,211,4.06
159,Ga. Southern ,53,215,4.06
160,Marshall ,55,223,4.05
161,Ark.-Pine Bluff ,46,186,4.04
162,Elon ,52,210,4.04
163,Buffalo ,47,189,4.02
164,Michigan St. ,52,209,4.02
165,North Carolina ,56,225,4.02
166,UNLV ,53,212,4.00
166,Coppin St. ,40,160,4.00
168,LSU ,62,247,3.98
169,Pacific ,47,186,3.96
170,Marist ,59,233,3.95
171,Lipscomb ,50,197,3.94
172,Dayton ,56,219,3.91
173,Cornell ,40,156,3.90
174,Stony Brook ,47,183,3.89
175,Purdue Fort Wayne ,54,210,3.89
176,Fairfield ,53,206,3.89
177,Portland St. ,52,202,3.88
178,Omaha ,51,198,3.88
179,UMBC ,43,166,3.86
180,Chattanooga ,56,216,3.86
181,Delaware St. ,48,185,3.85
182,Dartmouth ,40,153,3.83
183,Saint Louis ,57,218,3.82
184,Brown ,39,149,3.82
185,FIU ,55,210,3.82
186,Central Conn. St. ,49,187,3.82
187,Army West Point ,54,206,3.81
187,UC Santa Barbara ,54,206,3.81
189,Tennessee Tech ,49,186,3.80
190,Oregon St. ,58,220,3.79
191,Central Mich. ,48,182,3.79
192,Murray St. ,52,197,3.79
193,Loyola Marymount ,59,220,3.73
194,George Mason ,50,185,3.70
195,Northern Ky. ,46,170,3.70
196,Abilene Christian ,49,181,3.69
197,Southern Miss. ,55,203,3.69
198,Duke ,56,206,3.68
199,UAB ,59,217,3.68
200,Wagner ,43,158,3.67
201,Stanford ,55,202,3.67
202,Indiana St. ,54,198,3.67
203,UCF ,56,205,3.66
204,North Dakota ,53,194,3.66
205,Indiana ,56,204,3.64
206,Southern Utah ,47,171,3.64
207,Detroit Mercy ,44,160,3.64
208,Florida A&M ,52,189,3.63
209,ETSU ,46,167,3.63
210,South Alabama ,56,203,3.63
210,Butler ,48,174,3.63
212,North Dakota St. ,53,192,3.62
213,NC State ,54,195,3.61
214,SIUE ,46,166,3.61
215,Seton Hall ,54,193,3.57
216,Jacksonville ,56,200,3.57
216,Sacred Heart ,56,200,3.57
216,Niagara ,49,175,3.57
216,UMass Lowell ,49,175,3.57
220,San Diego ,52,185,3.56
221,Princeton ,39,137,3.51
222,Mississippi Val. ,45,158,3.51
223,Western Ill. ,48,168,3.50
223,Hartford ,42,147,3.50
225,Hampton ,52,180,3.46
226,Hawaii ,50,173,3.46
227,Texas ,59,204,3.46
228,Montana ,55,190,3.45
229,FGCU ,56,193,3.45
230,La Salle ,46,158,3.43
231,New Mexico ,53,182,3.43
232,Bryant ,45,154,3.42
233,Fairleigh Dickinson ,43,147,3.42
234,Sam Houston St. ,57,194,3.40
235,Lehigh ,51,173,3.39
236,Delaware ,49,166,3.39
237,UTSA ,50,169,3.38
238,Robert Morris ,46,155,3.37
239,Lafayette ,49,165,3.37
240,Iowa St. ,56,188,3.36
241,Western Caro. ,52,174,3.35
242,Wright St. ,53,177,3.34
243,Georgetown ,52,173,3.33
244,Loyola Chicago ,50,164,3.28
245,Belmont ,50,163,3.26
246,Jackson St. ,40,130,3.25
247,Virginia Tech ,53,172,3.25
248,Valparaiso ,51,165,3.24
249,Providence ,45,145,3.22
250,UT Martin ,57,183,3.21
251,Cleveland St. ,49,157,3.20
252,St. Bonaventure ,42,134,3.19
253,Howard ,45,143,3.18
254,Idaho St. ,47,149,3.17
255,UC Davis ,51,161,3.16
256,Holy Cross ,45,142,3.16
257,N.C. Central ,46,145,3.15
258,East Carolina ,55,172,3.13
259,Siena ,44,137,3.11
260,Mount St. Mary's ,44,136,3.09
261,Iona ,46,141,3.07
262,Evansville ,49,150,3.06
263,Charlotte ,50,153,3.06
264,Morehead St. ,51,156,3.06
265,Maine ,47,143,3.04
266,Purdue ,56,170,3.04
267,UNCW ,49,148,3.02
268,A&M-Corpus Christi ,52,156,3.00
269,IUPUI ,49,145,2.96
270,Saint Mary's ,49,143,2.92
271,Cal Poly ,50,145,2.90
272,San Diego St. ,51,147,2.88
273,Winthrop ,49,141,2.88
274,Illinois St. ,54,155,2.87
275,Houston Baptist ,43,123,2.86
276,Eastern Mich. ,50,141,2.82
277,Maryland ,55,155,2.82
278,Iowa ,53,149,2.81
279,Colgate ,43,119,2.77
280,Canisius ,47,130,2.77
281,UConn ,55,148,2.69
282,N.C. A&T ,44,118,2.68
283,Green Bay ,46,121,2.63
284,Yale ,40,105,2.63
285,UMES ,39,102,2.62
286,Penn St. ,50,130,2.60
287,Saint Peter's ,48,124,2.58
288,Incarnate Word ,49,126,2.57
289,CSU Bakersfield ,44,112,2.55
290,North Florida ,54,133,2.46
291,Rhode Island ,47,111,2.36
292,Santa Clara ,46,107,2.33
293,Akron ,48,108,2.25
294,Presbyterian ,46,97,2.11
295,Tennessee St. ,52,103,1.98
296,South Carolina St. ,33,59,1.79
