Rank,College,W,L,T,PCT
1,James Madison ,50,6,0,0.893
2,Florida ,56,7,0,0.889
3,Michigan ,52,7,0,0.881
4,Oklahoma ,57,8,0,0.877
5,Fla. Atlantic ,51,9,0,0.850
6,Florida St. ,55,10,0,0.846
7,Louisiana ,46,9,0,0.836
8,Auburn ,58,12,0,0.829
9,Oregon ,48,10,0,0.828
10,Alabama ,51,14,0,0.785
11,Marist ,45,13,0,0.776
12,Fresno St. ,42,12,1,0.773
13,Notre Dame ,43,13,0,0.768
14,Baylor ,45,14,0,0.763
14,Kentucky ,45,14,0,0.763
16,Minnesota ,43,14,0,0.754
16,McNeese ,43,14,0,0.754
18,LSU ,52,18,0,0.743
19,USC Upstate ,43,15,0,0.741
20,South Fla. ,45,16,0,0.738
20,Cal St. Fullerton ,45,16,0,0.738
22,Tennessee ,43,16,0,0.729
23,Missouri ,42,16,0,0.724
24,Washington ,39,15,0,0.722
24,North Dakota St. ,39,15,0,0.722
26,Jacksonville St. ,43,17,0,0.717
27,UCLA ,40,16,1,0.711
28,Texas ,38,16,0,0.704
29,Georgia ,46,20,0,0.697
30,Nicholls St. ,39,17,0,0.696
31,Binghamton ,34,15,0,0.694
32,Lehigh ,36,16,0,0.692
33,Eastern Ky. ,37,17,0,0.685
33,Towson ,37,17,0,0.685
35,Nevada ,32,15,0,0.681
36,Louisville ,35,17,0,0.673
37,Longwood ,40,20,0,0.667
37,Samford ,40,20,0,0.667
37,UNI ,38,19,0,0.667
40,Texas A&M ,39,20,0,0.661
40,Army West Point ,39,20,0,0.661
42,Weber St. ,37,19,0,0.661
43,Arizona ,40,21,0,0.656
44,Albany ,34,18,0,0.654
45,Ole Miss ,41,22,0,0.651
46,Fordham ,39,21,0,0.650
47,UIC ,33,18,0,0.647
47,South Alabama ,33,18,0,0.647
49,Texas St. ,40,22,0,0.645
50,New Mexico St. ,38,21,0,0.644
51,Dartmouth ,27,15,0,0.643
52,Villanova ,32,18,0,0.640
53,Northern Ill. ,35,20,0,0.636
54,Southern Ill. ,33,19,0,0.635
55,UCF ,38,22,0,0.633
56,BYU ,36,21,0,0.632
56,Wichita St. ,36,21,0,0.632
58,Harvard ,29,17,0,0.630
59,Ohio St. ,34,20,1,0.627
60,Coastal Carolina ,37,22,0,0.627
60,Kent St. ,37,22,0,0.627
62,Utah ,35,21,0,0.625
62,Nebraska ,35,21,0,0.625
62,Tulsa ,35,21,0,0.625
62,Delaware St. ,30,18,0,0.625
66,South Carolina ,38,23,0,0.623
67,Ohio ,37,23,0,0.617
67,Wright St. ,37,23,0,0.617
69,Central Ark. ,35,22,0,0.614
69,Lamar University ,35,22,0,0.614
71,Illinois ,36,23,0,0.610
72,Kansas ,31,20,0,0.608
73,CSUN ,34,22,0,0.607
74,LMU ,32,21,0,0.604
75,Col. of Charleston ,35,23,0,0.603
75,Miami ,35,23,0,0.603
77,Long Beach St. ,33,22,0,0.600
78,Oregon St. ,30,20,1,0.598
79,Pittsburgh ,31,21,0,0.596
80,Louisiana Tech ,32,22,0,0.593
81,UT Arlington ,29,20,0,0.592
81,St. John's ,29,20,0,0.592
83,UC Riverside ,32,22,1,0.591
83,Texas Southern ,26,18,0,0.591
85,Delaware ,30,21,0,0.588
85,Manhattan ,30,21,0,0.588
85,Youngstown St. ,30,21,0,0.588
88,Saint Francis ,34,24,0,0.586
89,Charlotte ,32,23,0,0.582
90,Monmouth ,29,21,0,0.580
90,UNCW ,29,21,0,0.580
92,Western Caro. ,33,24,0,0.579
93,California ,33,24,1,0.578
94,San Diego St. ,30,22,0,0.577
95,Radford ,35,26,0,0.574
96,Maine ,28,21,0,0.571
97,Boston College ,30,23,0,0.566
98,North Carolina ,32,25,0,0.561
99,Dayton ,27,21,1,0.561
100,Sacramento St. ,28,22,0,0.560
101,UNC Greensboro ,33,26,0,0.559
102,Drake ,30,24,0,0.556
102,Penn St. ,30,24,0,0.556
102,Stetson ,30,24,0,0.556
105,Troy ,31,25,0,0.554
106,Oklahoma St. ,32,26,0,0.552
107,Idaho St. ,28,23,0,0.549
108,Akron ,30,25,1,0.545
109,Arizona St. ,31,26,0,0.544
110,FGCU ,32,27,0,0.542
111,Georgia St. ,33,28,0,0.541
111,Furman ,33,28,0,0.541
113,Cal Poly ,27,23,0,0.540
113,Bucknell ,27,23,0,0.540
113,Fairfield ,27,23,0,0.540
116,Butler ,28,24,0,0.538
116,San Jose St. ,28,24,0,0.538
116,Boston U. ,28,24,0,0.538
119,Wisconsin ,28,24,1,0.538
120,Indiana ,29,25,0,0.537
121,LIU ,30,26,0,0.536
121,Marshall ,30,26,0,0.536
121,UT Martin ,30,26,0,0.536
124,Siena ,25,22,0,0.532
124,Creighton ,25,22,0,0.532
126,Savannah St. ,26,23,0,0.531
127,Ga. Southern ,30,27,0,0.526
128,Liberty ,31,28,0,0.525
129,Penn ,23,21,0,0.523
130,Hofstra ,24,22,0,0.522
131,Massachusetts ,26,24,0,0.520
132,DePaul ,27,25,0,0.519
132,Northwestern St. ,27,25,0,0.519
132,Stony Brook ,26,24,2,0.519
135,SIUE ,28,26,0,0.519
136,Montana ,29,27,0,0.518
136,FIU ,29,27,0,0.518
138,Kennesaw St. ,30,28,0,0.517
138,Southern Miss. ,30,28,0,0.517
140,Utah St. ,26,25,0,0.510
140,Elon ,26,25,0,0.510
142,Syracuse ,27,26,0,0.509
143,Alabama St. ,28,27,0,0.509
144,Virginia Tech ,29,28,0,0.509
145,Chattanooga ,30,29,0,0.508
145,Omaha ,30,29,0,0.508
147,UC Santa Barbara ,28,28,0,0.500
148,SFA ,28,29,0,0.491
148,Quinnipiac ,28,29,0,0.491
150,Northwestern ,27,28,0,0.491
150,Michigan St. ,27,28,0,0.491
150,Purdue ,27,28,0,0.491
153,Morehead St. ,26,27,0,0.491
154,Saint Joseph's ,25,26,1,0.490
155,Jacksonville ,28,30,0,0.483
156,Houston ,27,29,0,0.482
157,Saint Louis ,25,27,0,0.481
158,Kansas City ,24,26,0,0.480
158,Evansville ,24,26,0,0.480
160,Colorado St. ,22,24,0,0.478
161,ETSU ,20,22,0,0.476
162,Campbell ,28,31,0,0.475
163,Florida A&M ,27,30,0,0.474
164,Lipscomb ,26,29,0,0.473
165,Eastern Ill. ,25,28,0,0.472
165,Presbyterian ,25,28,0,0.472
167,Central Mich. ,24,27,1,0.471
168,George Mason ,22,25,0,0.468
169,New Mexico ,23,27,0,0.460
170,UAB ,27,32,0,0.458
171,Memphis ,26,31,0,0.456
171,Mississippi St. ,26,31,0,0.456
173,Princeton ,23,28,0,0.451
174,UMBC ,25,31,0,0.446
175,Hawaii ,24,30,0,0.444
175,Seton Hall ,24,30,0,0.444
177,George Washington ,23,29,0,0.442
178,Western Mich. ,22,28,0,0.440
179,Brown ,18,23,0,0.439
180,Murray St. ,24,31,0,0.436
180,UNLV ,24,31,0,0.436
182,San Diego ,22,29,0,0.431
183,Providence ,21,28,0,0.429
183,Loyola Chicago ,21,28,0,0.429
185,Saint Mary's ,20,27,1,0.427
186,Middle Tenn. ,23,31,0,0.426
186,East Carolina ,23,31,0,0.426
188,Missouri St. ,22,30,0,0.423
189,Rutgers ,24,33,0,0.421
190,Norfolk St. ,18,25,0,0.419
191,Canisius ,23,32,0,0.418
191,Texas Tech ,23,32,0,0.418
191,Southeastern La. ,23,32,0,0.418
191,UTEP ,23,32,0,0.418
195,Hampton ,20,28,0,0.417
195,Pacific ,20,28,0,0.417
197,La.-Monroe ,24,34,0,0.414
198,Central Conn. St. ,18,26,1,0.411
199,NC State ,23,33,0,0.411
199,Tennessee Tech ,23,33,0,0.411
199,Robert Morris ,23,33,0,0.411
202,Wagner ,20,29,0,0.408
202,North Florida ,20,29,0,0.408
204,Ball St. ,22,32,0,0.407
205,South Dakota St. ,23,34,0,0.404
206,Georgia Tech ,22,33,0,0.400
206,North Texas ,22,33,0,0.400
208,Mercer ,23,35,0,0.397
209,Bethune-Cookman ,21,32,0,0.396
209,Cleveland St. ,21,32,0,0.396
211,Charleston So. ,22,34,0,0.393
212,Alcorn ,18,28,0,0.391
213,Sam Houston St. ,21,33,0,0.389
213,Gardner-Webb ,21,33,0,0.389
213,Green Bay ,21,33,0,0.389
213,Toledo ,21,33,0,0.389
217,La Salle ,17,28,0,0.378
218,Illinois St. ,20,33,0,0.377
218,UTSA ,20,33,0,0.377
220,A&M-Corpus Christi ,18,30,0,0.375
220,Bradley ,18,30,0,0.375
220,Southern U. ,12,20,0,0.375
223,Eastern Mich. ,19,32,0,0.373
224,Yale ,18,31,1,0.370
225,Seattle U ,19,33,0,0.365
225,UConn ,19,33,0,0.365
227,IUPUI ,20,35,0,0.364
227,Drexel ,20,35,0,0.364
227,Iowa St. ,20,35,0,0.364
230,Western Ky. ,17,30,0,0.362
231,Virginia ,18,33,0,0.353
232,Belmont ,19,35,0,0.352
233,N.C. A&T ,17,32,0,0.347
234,Valparaiso ,18,34,0,0.346
235,Houston Baptist ,15,29,0,0.341
235,Mississippi Val. ,15,29,0,0.341
237,Bowling Green ,18,36,0,0.333
237,Western Ill. ,16,32,0,0.333
237,Columbia ,16,32,0,0.333
240,Southeast Mo. St. ,16,33,0,0.327
241,CSU Bakersfield ,16,34,0,0.320
242,St. Bonaventure ,15,32,0,0.319
243,Morgan St. ,13,28,0,0.317
244,Buffalo ,17,37,0,0.315
244,North Dakota ,17,37,0,0.315
246,Indiana St. ,16,35,0,0.314
247,Detroit Mercy ,17,39,0,0.304
247,Arkansas ,17,39,0,0.304
249,Mount St. Mary's ,15,35,0,0.300
249,UC Davis ,15,35,0,0.300
251,Oakland ,13,31,0,0.295
252,Ark.-Pine Bluff ,15,36,0,0.294
253,Colgate ,12,29,0,0.293
254,Lafayette ,13,32,0,0.289
255,Portland St. ,14,35,0,0.286
255,Sacred Heart ,13,34,2,0.286
257,South Dakota ,15,38,0,0.283
258,Iona ,13,33,0,0.283
259,Rhode Island ,12,32,0,0.273
260,Stanford ,13,35,0,0.271
261,Boise St. ,14,38,0,0.269
262,UMES ,11,30,0,0.268
263,Prairie View ,10,28,0,0.263
264,Fairleigh Dickinson ,12,34,0,0.261
265,Winthrop ,15,43,0,0.259
266,Alabama A&M ,12,35,0,0.255
267,Iowa ,13,39,0,0.250
267,Southern Utah ,13,39,0,0.250
267,Bryant ,12,36,0,0.250
270,Maryland ,12,40,0,0.231
271,Jackson St. ,8,28,0,0.222
272,Cornell ,9,32,0,0.220
272,Howard ,9,32,0,0.220
274,Purdue Fort Wayne ,11,40,0,0.216
275,Northern Colo. ,9,33,0,0.214
276,Niagara ,10,38,0,0.208
277,Georgetown ,9,35,0,0.205
278,Appalachian St. ,11,45,0,0.196
279,Santa Clara ,10,41,0,0.196
280,Austin Peay ,9,38,0,0.191
281,Tennessee St. ,10,45,0,0.182
281,Holy Cross ,8,36,0,0.182
283,Utah Valley ,9,43,0,0.173
284,South Carolina St. ,5,25,0,0.167
285,Rider ,8,42,0,0.160
286,N.C. Central ,7,42,0,0.143
287,Coppin St. ,5,31,0,0.139
288,Grambling ,5,32,0,0.135
289,Hartford ,6,45,0,0.118
290,Saint Peter's ,1,42,0,0.023
