Rank,College
1,Florida State
2,Washington
3,UCLA
3,Oklahoma
5,Oregon
5,Florida
7,Georgia
7,Arizona
9,Kentucky
9,South Carolina
9,Alabama
9,Arkansas
9,Arizona
9,LSU
9,Tennessee
9,Texas A&M
17,Baylor
17,Ohio State
17,Ohio
17,Northwestern
17,Louisiana
17,Jacksonville State
17,Mississippi State
17,Cal State Fullerton
17,Wichita State
17,Missouri
17,Oregon State
17,Minnesota
17,Liberty
17,Ole Miss
17,Notre Dame
17,Drake
33,BYU
33,Michigan
33,Long Beach State
33,Hofstra
33,Texas 
33,Wisconsin
33,Tulsa
33,Oklahoma State
33,Texas State
33,North Dakota State
33,Auburn
33,Houston
33,California
33,James Madison
33,South Florida
33,McNeese State
49,Prarie View A&M
49,Bethune-Cookman
49,Monmouh
49,Harvard
49,Fordham
49,Kennesaw State
49,St. Francis (Pa)
49,Sacramento State
49,DePaul
49,Boston U
49,Middle Tennessee
49,Boise State
49,UNC Greensboro
49,New Mexico State
49,UIC
49,Albany