Rank,College,G,DP,PG
1,Hofstra ,47,33,0.70
1,CSU Bakersfield ,47,33,0.70
3,Fla. Atlantic ,50,31,0.62
4,Oklahoma St. ,62,38,0.61
5,Utah Valley ,46,27,0.59
6,Wisconsin ,57,33,0.58
7,Ohio St. ,53,29,0.55
8,A&M-Corpus Christi ,51,27,0.53
9,Grand Canyon ,57,30,0.53
10,Abilene Christian ,44,23,0.52
11,UNLV ,50,26,0.52
11,UAB ,50,26,0.52
13,Utah ,54,28,0.52
14,La.-Monroe ,56,29,0.52
15,Illinois ,58,30,0.52
16,Iowa St. ,62,32,0.52
17,Auburn ,60,30,0.50
17,Boise St. ,52,26,0.50
17,UTEP ,50,25,0.50
17,Samford ,54,27,0.50
17,Southern Utah ,40,20,0.50
17,Kentucky ,60,30,0.50
23,South Dakota ,61,30,0.49
24,Seattle U ,57,28,0.49
25,UIC ,55,27,0.49
25,Texas A&M ,55,27,0.49
27,San Jose St. ,53,26,0.49
28,Kansas ,51,25,0.49
29,Purdue Fort Wayne ,49,24,0.49
30,McNeese ,65,31,0.48
31,Saint Joseph's ,53,25,0.47
31,Western Caro. ,53,25,0.47
33,Colorado St. ,51,24,0.47
34,Lafayette ,49,23,0.47
34,Hawaii ,49,23,0.47
36,Albany ,43,20,0.47
37,Pittsburgh ,54,25,0.46
37,North Florida ,54,25,0.46
39,Wichita St. ,56,25,0.45
40,Indiana St. ,54,24,0.44
41,Santa Clara ,50,22,0.44
41,Manhattan ,50,22,0.44
43,Notre Dame ,55,24,0.44
44,Creighton ,44,19,0.43
45,Cal Poly ,51,22,0.43
46,Louisville ,58,25,0.43
47,Omaha ,47,20,0.43
48,Norfolk St. ,45,19,0.42
49,Northern Ky. ,55,23,0.42
50,Hampton ,48,20,0.42
51,NC State ,58,24,0.41
52,North Dakota ,56,23,0.41
53,Longwood ,59,24,0.41
54,Tennessee St. ,42,17,0.40
55,Northern Ill. ,52,21,0.40
56,UT Arlington ,63,25,0.40
57,Boston College ,53,21,0.40
58,Ole Miss ,61,24,0.39
59,South Dakota St. ,56,22,0.39
59,Col. of Charleston ,56,22,0.39
61,North Texas ,54,21,0.39
61,Mount St. Mary's ,54,21,0.39
61,UNCW ,54,21,0.39
64,South Alabama ,49,19,0.39
65,Wagner ,44,17,0.39
66,Fresno St. ,57,22,0.39
67,Valparaiso ,47,18,0.38
68,Memphis ,55,21,0.38
69,Delaware St. ,42,16,0.38
70,Southeast Mo. St. ,64,24,0.38
70,BYU ,56,21,0.38
72,FGCU ,51,19,0.37
72,Furman ,51,19,0.37
72,Illinois St. ,51,19,0.37
75,CSUN ,54,20,0.37
76,Florida St. ,65,24,0.37
77,South Carolina ,57,21,0.37
78,Missouri ,60,22,0.37
79,Colgate ,52,19,0.37
80,Arizona St. ,55,20,0.36
80,New Mexico St. ,55,20,0.36
82,Houston ,58,21,0.36
83,Virginia ,53,19,0.36
83,Stanford ,53,19,0.36
85,USC Upstate ,56,20,0.36
86,La Salle ,45,16,0.36
87,George Mason ,48,17,0.35
87,Seton Hall ,48,17,0.35
89,Delaware ,51,18,0.35
89,UNI ,51,18,0.35
91,Ball St. ,54,19,0.35
92,Lamar University ,57,20,0.35
92,Marist ,57,20,0.35
94,Yale ,43,15,0.35
95,Morgan St. ,46,16,0.35
96,Providence ,52,18,0.35
96,Nebraska ,52,18,0.35
98,Austin Peay ,55,19,0.35
99,North Carolina ,58,20,0.34
100,Coppin St. ,41,14,0.34
101,Long Beach St. ,50,17,0.34
102,Cal St. Fullerton ,56,19,0.34
102,Sacramento St. ,56,19,0.34
104,LIU Brooklyn ,54,18,0.33
104,Columbia ,45,15,0.33
104,Missouri St. ,51,17,0.33
104,Oregon St. ,45,15,0.33
104,Portland St. ,51,17,0.33
104,San Diego St. ,51,17,0.33
104,Central Mich. ,51,17,0.33
104,Butler ,48,16,0.33
104,Weber St. ,48,16,0.33
113,Saint Louis ,52,17,0.33
113,Bucknell ,52,17,0.33
115,San Diego ,49,16,0.33
115,Pacific ,49,16,0.33
117,Cornell ,46,15,0.33
118,Detroit Mercy ,59,19,0.32
119,Appalachian St. ,56,18,0.32
120,Northern Colo. ,53,17,0.32
121,East Carolina ,54,17,0.31
122,Robert Morris ,51,16,0.31
123,Rutgers ,55,17,0.31
124,Liberty ,62,19,0.31
125,UT Martin ,56,17,0.30
126,UC Davis ,53,16,0.30
127,N.C. A&T ,40,12,0.30
128,Monmouth ,54,16,0.30
129,Jacksonville St. ,51,15,0.29
129,Maryland ,51,15,0.29
129,Iowa ,51,15,0.29
129,Ga. Southern ,51,15,0.29
133,Louisiana ,58,17,0.29
133,Mississippi St. ,58,17,0.29
133,Georgia Tech ,58,17,0.29
136,Maine ,41,12,0.29
136,Green Bay ,41,12,0.29
138,Kennesaw St. ,55,16,0.29
139,Arizona ,62,18,0.29
140,UTSA ,52,15,0.29
141,Purdue ,63,18,0.29
141,Baylor ,49,14,0.29
143,UC Riverside ,53,15,0.28
143,Murray St. ,53,15,0.28
145,UMES ,39,11,0.28
145,Mississippi Val. ,39,11,0.28
147,LMU ,61,17,0.28
148,Rider ,54,15,0.28
148,Texas St. ,54,15,0.28
150,Virginia Tech ,58,16,0.28
151,Dartmouth ,40,11,0.28
152,FIU ,51,14,0.27
152,Saint Mary's ,51,14,0.27
154,Harvard ,44,12,0.27
154,Charleston So. ,55,15,0.27
156,Radford ,59,16,0.27
157,Texas ,63,17,0.27
158,Florida ,67,18,0.27
159,Central Conn. St. ,41,11,0.27
160,Army West Point ,56,15,0.27
161,Drexel ,60,16,0.27
162,Evansville ,49,13,0.27
163,Tulsa ,57,15,0.26
163,Eastern Ky. ,57,15,0.26
163,Southeastern La. ,57,15,0.26
166,Akron ,46,12,0.26
167,Quinnipiac ,50,13,0.26
167,Charlotte ,50,13,0.26
167,Fairfield ,50,13,0.26
170,Georgia St. ,54,14,0.26
170,Central Ark. ,54,14,0.26
172,Texas Tech ,58,15,0.26
173,George Washington ,62,16,0.26
174,Brown ,39,10,0.26
175,Buffalo ,43,11,0.26
176,Siena ,47,12,0.26
176,Utah St. ,47,12,0.26
178,Eastern Ill. ,55,14,0.25
179,Middle Tenn. ,59,15,0.25
180,Oklahoma ,63,16,0.25
181,Duke ,56,14,0.25
181,UMKC ,56,14,0.25
181,Montana ,56,14,0.25
181,Massachusetts ,48,12,0.25
181,IUPUI ,56,14,0.25
181,South Fla. ,60,15,0.25
181,Howard ,48,12,0.25
181,UMass Lowell ,48,12,0.25
189,Troy ,57,14,0.25
190,Alabama St. ,49,12,0.24
190,Southern Ill. ,49,12,0.24
192,St. Bonaventure ,45,11,0.24
192,Canisius ,45,11,0.24
194,LSU ,62,15,0.24
195,Elon ,54,13,0.24
196,UConn ,50,12,0.24
196,Loyola Chicago ,50,12,0.24
198,Houston Baptist ,46,11,0.24
198,Iona ,46,11,0.24
200,DePaul ,51,12,0.24
201,Prairie View ,47,11,0.23
201,Stetson ,47,11,0.23
203,UC Santa Barbara ,52,12,0.23
203,Grambling ,39,9,0.23
205,Binghamton ,48,11,0.23
205,St. John's ,48,11,0.23
207,Syracuse ,53,12,0.23
208,UCLA ,62,14,0.23
209,N.C. Central ,49,11,0.22
210,Michigan ,58,13,0.22
210,Sam Houston St. ,58,13,0.22
212,Kent St. ,54,12,0.22
212,South Carolina St. ,36,8,0.22
214,Bradley ,50,11,0.22
214,Michigan St. ,50,11,0.22
216,California ,55,12,0.22
216,UCF ,55,12,0.22
218,ETSU ,51,11,0.22
218,Oakland ,51,11,0.22
220,UNC Greensboro ,56,12,0.21
220,Alabama ,70,15,0.21
222,Louisiana Tech ,61,13,0.21
222,James Madison ,61,13,0.21
222,Washington ,61,13,0.21
225,Southern Miss. ,52,11,0.21
225,Oregon ,52,11,0.21
227,Northwestern St. ,57,12,0.21
228,Presbyterian ,53,11,0.21
229,Penn ,39,8,0.21
230,Cleveland St. ,49,10,0.20
231,Campbell ,54,11,0.20
232,Marshall ,64,13,0.20
233,Lehigh ,55,11,0.20
233,Tennessee Tech ,45,9,0.20
233,Coastal Caro. ,60,12,0.20
233,Saint Francis ,60,12,0.20
233,Fordham ,55,11,0.20
238,Nevada ,56,11,0.20
238,Nicholls St. ,56,11,0.20
240,Miami ,51,10,0.20
240,Stony Brook ,51,10,0.20
240,Bowling Green ,51,10,0.20
243,Rhode Island ,46,9,0.20
243,Western Mich. ,46,9,0.20
245,Lipscomb ,58,11,0.19
246,Florida A&M ,53,10,0.19
247,Alcorn ,38,7,0.18
248,Fairleigh Dickinson ,49,9,0.18
249,Wright St. ,55,10,0.18
249,Winthrop ,55,10,0.18
251,Niagara ,50,9,0.18
252,Boston U. ,57,10,0.18
252,Toledo ,57,10,0.18
252,Bethune-Cookman ,57,10,0.18
255,Jackson St. ,47,8,0.17
256,Villanova ,53,9,0.17
257,Towson ,54,9,0.17
257,Alabama A&M ,42,7,0.17
257,Youngstown St. ,54,9,0.17
257,Minnesota ,60,10,0.17
257,Chattanooga ,54,9,0.17
257,Belmont ,54,9,0.17
263,Georgia ,61,10,0.16
264,Sacred Heart ,55,9,0.16
265,Mercer ,56,9,0.16
266,Jacksonville ,50,8,0.16
267,Ark.-Pine Bluff ,38,6,0.16
268,Hartford ,51,8,0.16
269,Tennessee ,60,9,0.15
269,Northwestern ,60,9,0.15
271,Idaho St. ,47,7,0.15
272,Gardner-Webb ,54,8,0.15
272,UMBC ,54,8,0.15
274,Princeton ,41,6,0.15
275,Ohio ,55,8,0.15
276,Saint Peter's ,56,8,0.14
276,Penn St. ,56,8,0.14
278,Indiana ,57,8,0.14
279,SIUE ,44,6,0.14
280,Drake ,59,8,0.14
281,Southern U. ,35,4,0.11
282,New Mexico ,53,6,0.11
283,Morehead St. ,45,5,0.11
284,Arkansas ,58,6,0.10
285,Western Ky. ,50,5,0.10
286,Texas Southern ,52,5,0.10
287,Bryant ,45,4,0.09
288,North Dakota St. ,58,5,0.09
289,SFA ,59,5,0.08
290,UIW ,48,4,0.08
290,Savannah St. ,36,3,0.08
292,Holy Cross ,49,4,0.08
292,Georgetown ,49,4,0.08
294,Dayton ,51,4,0.08
295,Western Ill. ,40,3,0.08
