Rank,College,G,PO,A,E,PCT
1,Oklahoma ,62,"1,203",397,22,0.986
2,Florida ,67,"1,280",376,27,0.984
3,Michigan ,57,"1,114",414,26,0.983
4,South Carolina ,66,"1,300",467,38,0.979
5,Washington ,62,"1,229",397,35,0.979
6,Hofstra ,55,"1,115",393,33,0.979
7,Auburn ,58,"1,192",533,40,0.977
8,Liberty ,63,"1,276",425,40,0.977
9,Texas A&M ,62,"1,241",498,41,0.977
10,Florida St. ,70,"1,389",469,44,0.977
11,Kentucky ,56,"1,090",544,40,0.976
12,Texas ,59,"1,184",374,39,0.976
13,Kansas ,52,"1,050",419,37,0.975
14,Sacred Heart ,56,"1,137",394,39,0.975
15,Troy ,60,"1,243",365,41,0.975
16,Long Beach St. ,57,"1,163",407,41,0.975
17,LSU ,62,"1,338",498,48,0.975
18,SIUE ,46,903,260,31,0.974
19,Stanford ,55,"1,073",369,39,0.974
20,Oregon ,63,"1,251",470,47,0.973
21,UNLV ,53,"1,092",464,43,0.973
22,Arizona ,59,"1,156",321,41,0.973
23,Brown ,39,775,371,32,0.973
24,Nebraska ,54,"1,058",410,41,0.973
25,North Dakota St. ,53,"1,064",258,37,0.973
26,USC Upstate ,54,"1,067",339,40,0.972
27,Lipscomb ,50,"1,036",319,39,0.972
28,Drake ,57,"1,161",346,44,0.972
29,DePaul ,52,"1,065",406,43,0.972
30,Louisiana ,57,"1,256",514,52,0.971
31,Sam Houston St. ,57,"1,138",314,43,0.971
32,Albany ,48,936,337,38,0.971
33,Western Ill. ,48,940,288,37,0.971
34,Kent St. ,52,997,395,42,0.971
35,FIU ,55,"1,141",350,45,0.971
36,UT Arlington ,58,"1,195",459,50,0.971
37,UNC Greensboro ,59,"1,205",470,51,0.970
38,Eastern Ky. ,66,"1,306",516,56,0.970
39,Missouri St. ,52,"1,049",414,45,0.970
40,Southeast Mo. St. ,53,"1,040",356,43,0.970
41,Marist ,59,"1,165",551,53,0.970
42,Tulsa ,59,"1,154",334,46,0.970
43,Baylor ,56,"1,105",380,46,0.970
44,South Dakota St. ,55,"1,058",394,45,0.970
45,Pittsburgh ,52,"1,039",509,48,0.970
46,Ga. Southern ,53,"1,053",427,46,0.970
47,Oklahoma St. ,61,"1,202",500,53,0.970
48,Montana ,55,"1,104",395,47,0.970
49,Virginia Tech ,53,"1,067",459,48,0.970
50,UT Martin ,57,"1,155",496,52,0.969
51,Coastal Caro. ,54,"1,057",304,43,0.969
52,UCLA ,65,"1,286",410,54,0.969
53,Boston U. ,59,"1,187",471,53,0.969
54,Illinois St. ,54,"1,079",479,50,0.969
55,Fla. Atlantic ,56,"1,209",499,55,0.969
56,Arizona St. ,61,"1,241",368,52,0.969
57,Sacramento St. ,51,"1,045",372,46,0.969
58,UC Davis ,51,"1,058",294,44,0.968
59,Houston ,59,"1,260",580,60,0.968
60,Cal St. Fullerton ,60,"1,195",577,58,0.968
61,Grand Canyon ,59,"1,148",592,57,0.968
62,Loyola Marymount ,59,"1,210",467,55,0.968
63,Radford ,55,"1,127",514,54,0.968
64,Fresno St. ,54,"1,045",380,47,0.968
65,Seattle U ,56,"1,191",554,58,0.968
66,UIC ,54,"1,066",466,51,0.968
67,Villanova ,53,"1,020",389,47,0.968
68,Central Conn. St. ,49,969,375,45,0.968
69,Syracuse ,50,"1,017",297,44,0.968
70,Furman ,56,"1,131",343,50,0.967
71,Louisiana Tech ,57,"1,118",414,52,0.967
72,Texas St. ,59,"1,242",371,55,0.967
73,Tennessee ,62,"1,229",411,56,0.967
74,Minnesota ,58,"1,152",513,57,0.967
75,Ole Miss ,57,"1,164",530,58,0.967
76,ETSU ,46,890,305,41,0.967
77,Georgia St. ,55,"1,139",405,53,0.967
78,Santa Clara ,46,911,312,42,0.967
79,UC Riverside ,62,"1,222",392,56,0.966
80,Indiana St. ,54,"1,077",475,54,0.966
81,Miami ,49,985,363,47,0.966
82,Fairfield ,53,"1,051",344,49,0.966
83,Morehead St. ,51,"1,053",302,48,0.966
84,Georgia ,61,"1,200",379,56,0.966
85,Saint Francis ,58,"1,143",374,54,0.966
86,Missouri ,59,"1,160",552,61,0.966
87,UNI ,52,"1,045",466,54,0.965
88,Eastern Ill. ,56,"1,145",333,53,0.965
89,North Carolina ,56,"1,121",410,55,0.965
90,San Jose St. ,49,966,533,54,0.965
91,Central Mich. ,48,955,405,49,0.965
92,NC State ,54,"1,047",544,58,0.965
93,Massachusetts ,49,976,395,50,0.965
94,Alabama ,56,"1,103",401,55,0.965
95,Ohio St. ,52,"1,043",427,54,0.965
96,San Diego ,52,"1,077",470,57,0.964
97,Kennesaw St. ,56,"1,112",379,55,0.964
98,California ,56,"1,123",366,55,0.964
99,Notre Dame ,57,"1,123",447,58,0.964
100,Bowling Green ,52,"1,019",378,53,0.963
101,Austin Peay ,58,"1,176",404,60,0.963
102,Arkansas ,59,"1,165",410,60,0.963
103,FGCU ,56,"1,184",440,62,0.963
104,Princeton ,39,740,281,39,0.963
105,Northern Colo. ,56,"1,107",411,58,0.963
106,Dayton ,56,"1,111",351,56,0.963
107,Texas Tech ,59,"1,199",520,66,0.963
108,Prairie View ,43,821,298,43,0.963
109,Stony Brook ,47,926,374,50,0.963
110,Memphis ,58,"1,143",414,60,0.963
111,Georgetown ,52,"1,009",288,50,0.963
112,SFA ,55,"1,107",443,60,0.963
113,Manhattan ,53,"1,092",455,60,0.963
114,Cornell ,40,784,323,43,0.963
115,Western Mich. ,54,"1,136",434,61,0.963
116,San Diego St. ,51,"1,035",453,58,0.962
117,Central Ark. ,56,"1,111",550,65,0.962
118,Cal Poly ,50,"1,000",455,57,0.962
119,UTEP ,54,"1,032",448,58,0.962
120,George Washington ,54,"1,058",392,57,0.962
120,Colorado St. ,50,"1,016",434,57,0.962
122,Bucknell ,51,"1,018",455,58,0.962
123,UNCW ,49,959,386,53,0.962
124,Towson ,61,"1,173",500,66,0.962
125,South Alabama ,56,"1,140",372,60,0.962
126,Longwood ,54,"1,135",376,60,0.962
127,Winthrop ,49,973,285,50,0.962
128,UCF ,56,"1,104",478,63,0.962
129,Southern Ill. ,53,"1,087",342,57,0.962
130,Stetson ,51,979,437,57,0.961
131,Western Ky. ,54,"1,088",452,62,0.961
132,Providence ,45,893,423,53,0.961
133,La.-Monroe ,53,"1,045",416,59,0.961
134,East Carolina ,55,"1,098",408,61,0.961
135,LIU Brooklyn ,51,975,381,55,0.961
136,Harvard ,41,819,363,48,0.961
137,Bethune-Cookman ,57,"1,140",480,66,0.961
138,Yale ,40,818,331,47,0.961
139,Butler ,48,963,357,54,0.961
140,Jacksonville ,56,"1,125",488,66,0.961
141,Campbell ,56,"1,084",427,62,0.961
142,Purdue ,56,"1,086",350,59,0.961
143,Niagara ,49,956,352,54,0.960
144,Col. of Charleston ,58,"1,136",511,68,0.960
145,Jacksonville St. ,60,"1,207",536,72,0.960
146,Boston College ,53,"1,091",385,61,0.960
147,Youngstown St. ,51,"1,002",401,58,0.960
148,North Dakota ,53,"1,035",512,64,0.960
149,South Fla. ,62,"1,224",468,70,0.960
150,Hawaii ,50,974,378,56,0.960
151,Loyola Chicago ,50,985,459,60,0.960
152,Nicholls St. ,55,"1,112",404,63,0.960
153,Southern Miss. ,55,"1,105",530,68,0.960
154,Penn St. ,50,954,434,58,0.960
155,Abilene Christian ,49,975,339,55,0.960
156,UTSA ,50,"1,002",379,58,0.960
157,Portland St. ,52,995,333,56,0.960
158,Saint Louis ,57,"1,110",462,67,0.959
159,St. John's ,50,974,357,57,0.959
160,Middle Tenn. ,61,"1,211",585,77,0.959
161,Rutgers ,50,"1,013",386,60,0.959
162,Mount St. Mary's ,44,841,367,52,0.959
163,Elon ,52,"1,026",385,61,0.959
164,Northwestern St. ,53,"1,021",343,59,0.959
165,IUPUI ,49,930,358,56,0.958
166,Monmouth ,48,988,367,59,0.958
167,Duke ,56,"1,158",582,76,0.958
168,Holy Cross ,45,919,375,57,0.958
169,Mercer ,52,"1,044",270,58,0.958
170,Valparaiso ,51,"1,017",430,64,0.958
171,Ball St. ,56,"1,108",405,67,0.958
172,Northwestern ,57,"1,123",386,67,0.957
173,Mississippi St. ,61,"1,213",465,75,0.957
174,Charlotte ,50,"1,003",316,59,0.957
175,Quinnipiac ,51,971,346,59,0.957
176,Murray St. ,52,"1,052",484,69,0.957
177,Northern Ill. ,56,"1,084",494,71,0.957
178,Nevada ,54,"1,088",413,68,0.957
179,Wisconsin ,52,"1,030",446,67,0.957
180,BYU ,58,"1,104",438,70,0.957
181,Toledo ,58,"1,203",471,76,0.957
182,Wagner ,43,824,317,52,0.956
183,Morgan St. ,45,913,353,58,0.956
184,Dartmouth ,40,785,239,47,0.956
185,Tennessee Tech ,49,930,399,61,0.956
186,James Madison ,57,"1,142",381,70,0.956
187,Lehigh ,51,"1,041",351,64,0.956
188,Iowa St. ,56,"1,094",448,71,0.956
189,Wichita St. ,55,"1,082",433,70,0.956
190,North Texas ,52,"1,053",375,66,0.956
191,Houston Baptist ,43,859,307,54,0.956
192,Saint Mary's ,49,947,390,62,0.956
193,Belmont ,50,"1,002",356,63,0.956
194,Creighton ,43,850,269,52,0.956
195,Green Bay ,46,881,362,58,0.955
196,Oakland ,50,"1,003",409,66,0.955
197,UMass Lowell ,49,961,321,60,0.955
198,Marshall ,55,"1,107",468,74,0.955
199,UConn ,55,"1,079",345,67,0.955
200,Lafayette ,49,881,394,60,0.955
201,Evansville ,49,"1,031",348,65,0.955
202,Michigan St. ,52,"1,010",303,62,0.955
203,Siena ,44,866,424,61,0.955
204,Army West Point ,54,"1,066",453,72,0.955
205,Lamar University ,56,"1,122",517,78,0.955
206,Iona ,46,935,376,63,0.954
207,Charleston So. ,56,"1,076",401,71,0.954
208,Louisville ,53,"1,056",358,68,0.954
209,Ohio ,57,"1,148",322,71,0.954
210,North Florida ,54,"1,090",434,74,0.954
211,Texas Southern ,43,851,342,58,0.954
212,Chattanooga ,56,"1,106",494,78,0.954
213,UMKC ,56,"1,070",494,77,0.953
214,Iowa ,53,"1,062",375,71,0.953
215,Canisius ,47,899,396,64,0.953
216,N.C. Central ,46,906,284,59,0.953
217,CSU Bakersfield ,44,846,403,62,0.953
218,Oregon St. ,58,"1,188",443,81,0.953
219,Colgate ,43,854,374,61,0.953
220,Southeastern La. ,59,"1,183",446,81,0.953
221,Appalachian St. ,52,"1,016",466,74,0.952
222,Omaha ,51,992,366,68,0.952
223,Utah ,50,954,362,66,0.952
224,UMBC ,43,840,371,61,0.952
225,Saint Joseph's ,49,975,394,69,0.952
226,Illinois ,55,"1,099",464,79,0.952
227,Purdue Fort Wayne ,54,"1,046",394,73,0.952
228,McNeese ,62,"1,237",456,86,0.952
229,Pacific ,47,931,447,70,0.952
230,Cleveland St. ,49,959,338,66,0.952
231,Indiana ,56,"1,119",327,74,0.951
232,New Mexico St. ,53,"1,025",398,73,0.951
233,Wright St. ,53,"1,059",435,77,0.951
234,Fairleigh Dickinson ,43,812,291,57,0.951
235,Drexel ,52,974,393,71,0.951
236,CSUN ,59,"1,176",401,82,0.951
237,Penn ,37,753,220,51,0.950
238,Northern Ky. ,46,909,366,67,0.950
239,Samford ,57,"1,087",505,85,0.949
240,Boise St. ,56,"1,074",343,76,0.949
241,Bryant ,45,839,334,63,0.949
242,Maine ,47,940,342,69,0.949
243,Georgia Tech ,54,"1,104",326,77,0.949
244,Columbia ,40,815,292,60,0.949
245,A&M-Corpus Christi ,52,983,505,81,0.948
246,Rhode Island ,47,934,331,70,0.948
247,Gardner-Webb ,58,"1,093",473,88,0.947
248,Western Caro. ,52,974,378,76,0.947
248,Tennessee St. ,52,941,411,76,0.947
250,Incarnate Word ,49,942,283,69,0.947
251,New Mexico ,53,978,400,78,0.946
252,Maryland ,55,"1,071",553,92,0.946
253,Seton Hall ,54,"1,065",530,91,0.946
254,Delaware St. ,48,903,466,79,0.945
255,St. Bonaventure ,42,753,250,58,0.945
256,Weber St. ,54,"1,043",474,88,0.945
257,Southern Utah ,47,839,342,70,0.944
258,Hampton ,52,"1,044",435,89,0.943
259,Idaho St. ,47,894,432,80,0.943
260,UAB ,59,"1,189",468,101,0.943
261,Coppin St. ,40,783,217,61,0.943
262,Bradley ,50,963,357,81,0.942
263,Utah Valley ,52,"1,020",451,91,0.942
264,Rider ,50,973,465,89,0.942
265,Robert Morris ,46,857,380,77,0.941
266,Eastern Mich. ,50,978,322,82,0.941
267,La Salle ,46,890,377,80,0.941
268,Hartford ,42,807,326,72,0.940
269,Fordham ,56,"1,082",379,93,0.940
270,Binghamton ,42,820,344,75,0.939
271,Detroit Mercy ,44,821,403,79,0.939
272,George Mason ,50,"1,004",364,89,0.939
273,UC Santa Barbara ,54,"1,071",418,97,0.939
274,Buffalo ,47,826,255,71,0.938
275,Utah St. ,52,"1,016",460,97,0.938
276,South Dakota ,55,"1,019",380,92,0.938
277,Alabama St. ,54,"1,022",422,95,0.938
278,Saint Peter's ,48,868,408,84,0.938
279,Akron ,48,858,324,80,0.937
280,Presbyterian ,46,846,352,82,0.936
281,Virginia ,53,"1,001",480,103,0.935
282,Savannah St. ,36,705,259,68,0.934
283,Delaware ,49,935,398,95,0.933
284,Alabama A&M ,43,781,267,75,0.933
285,Norfolk St. ,50,991,466,107,0.932
286,Florida A&M ,52,"1,071",401,110,0.930
287,Ark.-Pine Bluff ,46,857,313,88,0.930
288,Mississippi Val. ,45,819,321,87,0.929
289,Southern U. ,40,769,328,86,0.927
290,Alcorn ,49,857,332,95,0.926
291,Grambling ,39,654,280,76,0.925
292,South Carolina St. ,33,605,259,71,0.924
293,UMES ,39,693,229,78,0.922
294,N.C. A&T ,44,857,351,111,0.916
295,Howard ,45,790,308,110,0.909
296,Jackson St. ,40,678,269,113,0.893
