Rank,College,G,SB,CS,PG
1,Southeastern La. ,59,184,35,3.12
2,Bethune-Cookman ,57,161,29,2.82
3,McNeese ,62,148,39,2.39
4,UT Martin ,57,132,30,2.32
5,Louisiana Tech ,57,129,19,2.26
6,Hampton ,52,117,26,2.25
6,Fla. Atlantic ,56,126,21,2.25
8,Lehigh ,51,111,13,2.18
9,Florida St. ,70,152,18,2.17
10,Southern U. ,40,86,17,2.15
11,Marshall ,55,116,32,2.11
12,North Carolina ,56,116,31,2.07
13,Texas Southern ,43,87,8,2.02
14,Northwestern ,57,114,16,2.00
14,George Washington ,54,108,15,2.00
14,Indiana ,56,112,46,2.00
17,Gardner-Webb ,58,115,13,1.98
18,USC Upstate ,54,106,12,1.96
19,UIC ,54,104,16,1.93
20,Jacksonville ,56,106,20,1.89
21,Austin Peay ,58,103,14,1.78
22,Stetson ,51,89,12,1.75
23,Auburn ,58,99,30,1.71
24,Charleston So. ,56,95,16,1.70
25,Savannah St. ,36,61,8,1.69
26,Morgan St. ,45,76,19,1.69
27,Central Ark. ,56,94,19,1.68
28,La.-Monroe ,53,86,16,1.62
29,Drake ,57,92,23,1.61
30,Liberty ,63,100,16,1.59
31,Middle Tenn. ,61,94,15,1.54
32,Penn ,37,57,8,1.54
33,Weber St. ,54,83,14,1.54
34,Ark.-Pine Bluff ,46,70,15,1.52
35,Utah St. ,52,79,15,1.52
35,Wisconsin ,52,79,27,1.52
37,Alabama St. ,54,82,15,1.52
38,Furman ,56,84,11,1.50
38,Detroit Mercy ,44,66,12,1.50
38,Mercer ,52,78,9,1.50
41,Wright St. ,53,79,18,1.49
42,Louisiana ,57,84,24,1.47
43,Memphis ,58,85,23,1.47
44,Georgia ,61,89,15,1.46
45,Saint Mary's ,49,71,12,1.45
46,Seattle U ,56,81,15,1.45
47,Longwood ,54,78,19,1.44
48,Lipscomb ,50,72,13,1.44
49,Ole Miss ,57,81,20,1.42
50,Cal St. Fullerton ,60,84,20,1.40
51,SIUE ,46,64,22,1.39
52,Lamar University ,56,77,25,1.38
53,A&M-Corpus Christi ,52,71,13,1.37
54,Canisius ,47,64,12,1.36
55,Kentucky ,56,76,21,1.36
56,Jackson St. ,40,54,12,1.35
57,Southeast Mo. St. ,53,70,17,1.32
58,Santa Clara ,46,60,15,1.30
59,Alabama A&M ,43,56,11,1.30
60,Boise St. ,56,72,18,1.29
61,North Florida ,54,69,22,1.28
62,Oregon ,63,80,14,1.27
63,Boston U. ,59,74,15,1.25
64,Michigan ,57,71,14,1.25
65,LSU ,62,77,7,1.24
66,UT Arlington ,58,72,12,1.24
67,Missouri St. ,52,64,10,1.23
68,UNCW ,49,60,26,1.22
69,Western Ky. ,54,66,15,1.22
70,Texas Tech ,59,72,30,1.22
71,Florida A&M ,52,63,11,1.21
72,Indiana St. ,54,65,7,1.20
73,Illinois ,55,66,19,1.20
74,Georgetown ,52,62,15,1.19
75,BYU ,58,69,8,1.19
76,Albany ,48,57,9,1.19
77,Washington ,62,73,13,1.18
78,Appalachian St. ,52,61,10,1.17
78,North Texas ,52,61,11,1.17
80,Oklahoma ,62,72,20,1.16
81,Syracuse ,50,58,8,1.16
82,San Diego ,52,60,15,1.15
83,Eastern Ky. ,66,76,13,1.15
84,Norfolk St. ,50,57,14,1.14
85,Prairie View ,43,49,14,1.14
86,Marist ,59,67,18,1.14
87,Akron ,48,54,31,1.13
87,Eastern Ill. ,56,63,11,1.13
87,Dayton ,56,63,12,1.13
90,Samford ,57,64,9,1.12
91,Utah Valley ,52,58,5,1.12
92,Boston College ,53,59,14,1.11
93,Radford ,55,61,9,1.11
93,Southern Miss. ,55,61,16,1.11
95,Alabama ,56,62,13,1.11
96,Central Mich. ,48,53,14,1.10
97,Minnesota ,58,64,7,1.10
98,Harvard ,41,45,9,1.10
99,Butler ,48,52,9,1.08
100,North Dakota ,53,57,8,1.08
101,UMBC ,43,46,8,1.07
102,Missouri ,59,63,13,1.07
103,Howard ,45,48,20,1.07
104,Tennessee ,62,66,10,1.06
105,St. John's ,50,53,15,1.06
106,Troy ,60,63,13,1.05
107,St. Bonaventure ,42,44,4,1.05
107,Binghamton ,42,44,10,1.05
109,Bucknell ,51,53,13,1.04
110,Tennessee St. ,52,54,8,1.04
111,California ,56,58,10,1.04
112,Yale ,40,41,10,1.03
113,Villanova ,53,54,13,1.02
114,Baylor ,56,57,21,1.02
114,Northern Ill. ,56,57,20,1.02
116,Jacksonville St. ,60,60,9,1.00
116,Saint Francis ,58,58,11,1.00
116,Omaha ,51,51,17,1.00
116,Princeton ,39,39,10,1.00
116,Notre Dame ,57,57,12,1.00
116,Stanford ,55,55,12,1.00
116,San Diego St. ,51,51,20,1.00
116,DePaul ,52,52,12,1.00
124,Toledo ,58,57,17,0.98
125,Northern Colo. ,56,55,18,0.98
125,Campbell ,56,55,12,0.98
127,Nebraska ,54,53,9,0.98
128,Delaware ,49,48,8,0.98
129,Idaho St. ,47,46,13,0.98
130,Mount St. Mary's ,44,43,11,0.98
131,Towson ,61,59,13,0.97
132,Fordham ,56,54,3,0.96
132,FGCU ,56,54,12,0.96
134,Louisville ,53,51,6,0.96
135,Youngstown St. ,51,49,3,0.96
136,Central Conn. St. ,49,47,7,0.96
136,Abilene Christian ,49,47,8,0.96
138,N.C. Central ,46,44,20,0.96
139,South Fla. ,62,59,15,0.95
140,Oregon St. ,58,55,10,0.95
141,ETSU ,46,43,9,0.93
142,Texas St. ,59,55,12,0.93
143,Northwestern St. ,53,49,10,0.92
143,Iowa ,53,49,7,0.92
143,North Dakota St. ,53,49,16,0.92
146,Murray St. ,52,48,10,0.92
147,Col. of Charleston ,58,53,14,0.91
148,Bryant ,45,41,18,0.91
149,Fairfield ,53,47,13,0.89
150,Colorado St. ,50,44,9,0.88
151,Cleveland St. ,49,43,16,0.88
152,Valparaiso ,51,44,9,0.86
153,Texas A&M ,62,53,7,0.85
154,Mississippi St. ,61,52,8,0.85
155,Army West Point ,54,46,9,0.85
155,Seton Hall ,54,46,12,0.85
157,UNI ,52,44,13,0.85
157,UMES ,39,33,11,0.85
157,Grambling ,39,33,6,0.85
160,CSU Bakersfield ,44,37,13,0.84
161,UCF ,56,47,12,0.84
162,Lafayette ,49,41,20,0.84
163,Monmouth ,48,40,11,0.83
163,Saint Peter's ,48,40,12,0.83
165,Portland St. ,52,43,8,0.83
166,Sacramento St. ,51,42,9,0.82
167,Providence ,45,37,10,0.82
168,Kennesaw St. ,56,46,9,0.82
169,IUPUI ,49,40,11,0.82
170,Rutgers ,50,40,10,0.80
170,Nicholls St. ,55,44,8,0.80
172,Grand Canyon ,59,47,10,0.80
173,Saint Joseph's ,49,39,9,0.80
173,Alcorn ,49,39,9,0.80
175,Iowa St. ,56,44,9,0.79
176,Tulsa ,59,46,8,0.78
177,Manhattan ,53,41,13,0.77
178,Rhode Island ,47,36,6,0.77
179,CSUN ,59,45,8,0.76
180,Fresno St. ,54,41,9,0.76
181,Pittsburgh ,52,39,8,0.75
182,Purdue Fort Wayne ,54,40,10,0.74
183,Virginia Tech ,53,39,10,0.74
184,Winthrop ,49,36,10,0.73
185,NC State ,54,39,7,0.72
186,FIU ,55,39,18,0.71
187,Morehead St. ,51,36,8,0.71
188,Columbia ,40,28,8,0.70
189,Michigan St. ,52,36,15,0.69
190,Sam Houston St. ,57,39,12,0.68
191,Duke ,56,38,8,0.68
192,Miami ,49,33,9,0.67
193,South Carolina St. ,33,22,3,0.67
194,Ball St. ,56,37,4,0.66
195,Belmont ,50,33,7,0.66
196,Bowling Green ,52,34,11,0.65
197,Ohio ,57,37,8,0.65
198,Delaware St. ,48,31,6,0.65
199,George Mason ,50,32,10,0.64
200,East Carolina ,55,35,12,0.64
201,UCLA ,65,41,7,0.63
202,Texas ,59,37,15,0.63
203,UMKC ,56,35,8,0.63
204,New Mexico St. ,53,33,7,0.62
204,Southern Ill. ,53,33,10,0.62
206,South Carolina ,66,41,8,0.62
207,Georgia St. ,55,34,8,0.62
208,Ohio St. ,52,32,5,0.62
209,Stony Brook ,47,28,6,0.60
210,Coastal Caro. ,54,32,8,0.59
211,Massachusetts ,49,29,5,0.59
212,UNLV ,53,31,8,0.58
213,Wichita St. ,55,32,6,0.58
214,James Madison ,57,33,15,0.58
215,Kansas ,52,30,4,0.58
216,Nevada ,54,31,4,0.57
217,Hartford ,42,24,6,0.57
218,Florida ,67,38,10,0.57
219,Saint Louis ,57,32,7,0.56
220,Eastern Mich. ,50,28,8,0.56
221,UAB ,59,33,21,0.56
222,Mississippi Val. ,45,25,7,0.56
223,LIU Brooklyn ,51,28,8,0.55
223,UC Davis ,51,28,6,0.55
225,UC Riverside ,62,34,11,0.55
226,New Mexico ,53,29,10,0.55
227,Siena ,44,24,5,0.55
228,Southern Utah ,47,25,15,0.53
229,Arizona ,59,31,4,0.53
230,La Salle ,46,24,13,0.52
231,UTSA ,50,26,7,0.52
232,UTEP ,54,28,4,0.52
233,Evansville ,49,25,11,0.51
234,Rider ,50,25,4,0.50
234,Coppin St. ,40,20,8,0.50
234,South Alabama ,56,28,10,0.50
237,Oklahoma St. ,61,30,9,0.49
238,Montana ,55,27,11,0.49
238,South Dakota ,55,27,12,0.49
240,Creighton ,43,21,4,0.49
241,Presbyterian ,46,22,3,0.48
242,Arizona St. ,61,29,9,0.48
243,Maryland ,55,26,10,0.47
244,Tennessee Tech ,49,23,7,0.47
245,Buffalo ,47,22,9,0.47
246,Charlotte ,50,23,7,0.46
246,Oakland ,50,23,7,0.46
248,Northern Ky. ,46,21,4,0.46
249,Long Beach St. ,57,26,6,0.46
250,Hofstra ,55,25,8,0.45
251,Dartmouth ,40,18,5,0.45
252,Pacific ,47,21,5,0.45
252,Maine ,47,21,13,0.45
254,UC Santa Barbara ,54,24,6,0.44
255,Wagner ,43,19,6,0.44
256,South Dakota St. ,55,24,8,0.44
257,Virginia ,53,23,6,0.43
258,Drexel ,52,22,11,0.42
259,Fairleigh Dickinson ,43,18,3,0.42
260,UConn ,55,23,9,0.42
261,Robert Morris ,46,19,6,0.41
262,Quinnipiac ,51,21,8,0.41
263,Niagara ,49,20,5,0.41
264,Western Mich. ,54,22,1,0.41
265,Loyola Marymount ,59,24,13,0.41
266,Utah ,50,20,12,0.40
267,Ga. Southern ,53,21,7,0.40
268,Green Bay ,46,18,13,0.39
269,San Jose St. ,49,19,6,0.39
270,Brown ,39,15,6,0.38
271,Loyola Chicago ,50,19,8,0.38
272,Colgate ,43,16,6,0.37
273,Illinois St. ,54,20,7,0.37
274,Incarnate Word ,49,18,2,0.37
275,Elon ,52,19,4,0.37
276,SFA ,55,20,6,0.36
277,Houston ,59,21,6,0.36
278,N.C. A&T ,44,15,7,0.34
279,Bradley ,50,17,5,0.34
280,Arkansas ,59,20,2,0.34
281,Kent St. ,52,17,4,0.33
281,Western Caro. ,52,17,3,0.33
283,Purdue ,56,18,10,0.32
284,Cal Poly ,50,16,8,0.32
284,Hawaii ,50,16,8,0.32
286,Western Ill. ,48,15,5,0.31
287,Penn St. ,50,15,7,0.30
288,UMass Lowell ,49,14,4,0.29
289,UNC Greensboro ,59,16,3,0.27
290,Iona ,46,12,2,0.26
291,Chattanooga ,56,14,5,0.25
292,Holy Cross ,45,10,6,0.22
293,Sacred Heart ,56,10,5,0.18
294,Georgia Tech ,54,8,5,0.15
295,Houston Baptist ,43,3,0,0.07
296,Cornell ,40,1,3,0.03
